Pesticide A370nm A450nm A650nm
DM -0.38702 -0.40868 -0.22815
DM -0.36291 -0.42557 -0.21138
DM -0.38337 -0.41477 -0.22681
DM -0.36265 -0.42670 -0.21120
DM -0.40594 -0.44854 -0.23743
GLY -0.08836 -0.17034 -0.04893
GLY -0.12757 -0.19959 -0.07231
GLY -0.04737 -0.21931 -0.01887
GLY -0.07460 -0.18545 -0.03821
GLY -0.07956 -0.17185 -0.04365
DB 0.05375 -0.11262 0.03252
DB 0.07676 -0.09231 0.04300
DB 0.06997 -0.09203 0.04115
DB 0.06221 -0.09876 0.03915
DB 0.05805 -0.11336 0.03758
3-KC -0.28146 -0.36773 -0.15030
3-KC -0.26768 -0.34339 -0.14160
3-KC -0.28107 -0.37512 -0.14946
3-KC -0.27463 -0.36582 -0.14540
3-KC -0.27933 -0.34637 -0.15050
MA 0.14597 0.07162 0.08391
MA 0.15200 0.06356 0.08971
MA 0.13108 0.05697 0.07306
MA 0.15801 0.02372 0.09361
MA 0.14817 0.02839 0.08629
